"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","trial_type","trial_index","time_elapsed","internal_node_id","sona_ID","random_ID","initials","age","gender","resp_confidence","rt_confidence","confidence_CB","sat_CB","pc_info","condition","direction","coherence_level","event","trial","block","phase","screen_resolution","window_resolution","focus"
"175.37499987520278","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.80349998641759","[18.10500002466142,19.769999897107482,13.405000092461705,16.594999935477972,16.799999866634607,16.625000163912773,16.704999841749668,16.670000040903687,16.61500008776784,16.74499991349876]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","6","4556","0.0-4.0-1.0-1.0","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","1","1","training_1","1536 x 864","1396 x 686","true"
"170.75500008650124","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.839000000618398","[17.989999847486615,16.610000049695373,16.539999982342124,16.994999954476953,16.42500003799796,16.509999986737967,16.77500014193356,16.58499985933304,16.844999976456165,17.115000169724226]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","9","5419","0.0-4.0-1.0-1.1","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","2","1","training_1","1536 x 864","1396 x 686","true"
"150.61500016599894","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.086666663694714","[11.66500011458993,16.62499993108213,16.64000004529953,16.509999986737967,16.68999996036291,16.56000013463199,16.759999794885516,16.64000004529953,16.68999996036291]","9","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","12","6372","0.0-4.0-1.0-1.2","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","3","1","training_1","1536 x 864","1396 x 686","true"
"199.06000001356006","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.292083348768454","[12.205000035464764,16.76000002771616,16.499999910593033,16.645000083371997,16.700000036507845,16.709999879822135,16.840000171214342,16.374999890103936,16.77500014193356,16.62499993108213,16.67499984614551,16.69500023126602]","12","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","15","7353","0.0-4.0-1.0-1.3","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","4","1","training_1","1536 x 864","1396 x 686","true"
"169.02999999001622","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.426500002853572","[15.714999986812472,15.200000023469329,16.754999989643693,16.71999995596707,16.40000008046627,16.799999866634607,16.605000011622906,16.675000078976154,16.644999850541353,16.75000018440187]","10","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","18","8387","0.0-4.0-1.0-1.4","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","5","1","training_1","1536 x 864","1396 x 686","true"
"177.44500003755093","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","15.582272740588946","[8.990000002086163,12.740000151097775,16.654999926686287,16.390000004321337,16.83499990031123,16.490000067278743,16.694999998435378,16.620000125840306,16.704999841749668,16.629999969154596,16.65500015951693]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","21","9339","0.0-4.0-1.0-1.5","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","6","1","training_1","1536 x 864","1396 x 686","true"
"206.8099998869002","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.088333330117166","[10.049999924376607,16.56500017270446,16.55499986372888,17.125000013038516,16.70500007458031,16.24000002630055,16.45999983884394,16.755000222474337,16.659999964758754,16.949999844655395,16.44000015221536,16.55499986372888]","12","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","24","10563","0.0-4.0-1.0-1.6","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","7","1","training_1","1536 x 864","1396 x 686","true"
"180.82499993033707","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","15.810909088362347","[7.710000034421682,16.5200000628829,16.539999982342124,16.669999808073044,16.5350001771003,16.969999996945262,16.764999832957983,16.395000042393804,17.179999966174364,16.250000102445483,16.38499996624887]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","27","11456","0.0-4.0-1.0-1.7","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","8","1","training_1","1536 x 864","1396 x 686","true"
"227.31999983079731","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","15.90428571216762","[6.240000016987324,16.80999994277954,16.61500008776784,16.414999961853027,16.724999994039536,16.614999854937196,16.659999964758754,16.570000210776925,16.679999884217978,16.73500007018447,16.82500005699694,16.524999868124723,16.64000004529953,16.605000011622906]","14","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","30","12587","0.0-4.0-1.0-1.8","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","9","1","training_1","1536 x 864","1396 x 686","true"
"197.88500014692545","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","2.147692307692308","274.4","274.4","white","black","5","1","1","16.851818167858504","[19.444999983534217,15.924999956041574,16.64000004529953,16.88000001013279,16.629999969154596,16.419999999925494,16.739999875426292,16.564999939873815,16.82500005699694,16.625000163912773,16.67499984614551]","11","698","343","false","20","20","black","1","false","1","1","1396","686","rdk","33","13495","0.0-4.0-1.0-1.9","","8ys625","sdff","","","-1","-1","right","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","10","1","training_1","1536 x 864","1396 x 686","true"
