"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","trial_type","trial_index","time_elapsed","internal_node_id","sona_ID","random_ID","initials","age","gender","resp_confidence","rt_confidence","sat_CB","pc_info","condition","direction","coherence_level","event","trial","block","phase","screen_resolution","window_resolution","focus","rt_confirm"
"350.6849999539554","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.84599999571219","[20.53499990142882,16.49500010535121,16.934999963268638,16.395000042393804,16.594999935477972,16.740000108256936,16.52999990619719,16.64000004529953,16.82500005699694,16.644999850541353,16.580000054091215,16.8399999383837,16.490000067278743,16.68000011704862,16.64999988861382,16.594999935477972,16.605000011622906,16.810000175610185,16.824999824166298,16.509999986737967]","20","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","6","11793","0.0-4.0-1.0-1.0","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","1","1","training_1","1536 x 864","1105 x 686","true",""
"186.4500001538545","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.072272725233976","[10.109999915584922,16.80000009946525,16.654999926686287,16.61500008776784,16.59999997355044,16.44999999552965,16.71999995596707,16.97500003501773,16.28999994136393,16.71000011265278,16.869999933987856]","11","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","9","12776","0.0-4.0-1.0-1.1","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","2","1","training_1","1536 x 864","1105 x 686","true",""
"170.23500008508563","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.741999982856214","[7.454999955371022,16.850000014528632,16.57999982126057,16.56500017270446,16.42500003799796,16.759999794885516,16.65500015951693,17.005000030621886,16.59999997355044,16.524999868124723]","10","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","12","13696","0.0-4.0-1.0-1.2","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","3","1","training_1","1536 x 864","1105 x 686","true",""
"191.49000011384487","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.43909090621905","[14.070000033825636,16.850000014528632,16.500000143423676,16.739999875426292,16.64000004529953,16.44999999552965,16.83499990031123,16.71000011265278,16.605000011622906,16.64000004529953,16.789999790489674]","11","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","15","14577","0.0-4.0-1.0-1.3","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","4","1","training_1","1536 x 864","1105 x 686","true",""
"198.80000012926757","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.23874999737988","[11.734999949112535,16.34499989449978,16.900000162422657,23.954999865964055,9.25999996252358,17.430000007152557,15.870000002905726,17.11000013165176,16.594999935477972,16.42500003799796,16.47999999113381,16.76000002771616]","12","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","18","15587","0.0-4.0-1.0-1.4","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","5","1","training_1","1536 x 864","1105 x 686","true",""
"186.77999987266958","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.80772728828544","[7.455000188201666,16.754999989643693,16.874999972060323,17.159999813884497,15.71000018157065,16.8399999383837,16.474999953061342,17.070000059902668,16.24000002630055,16.629999969154596,16.675000078976154]","11","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","21","16629","0.0-4.0-1.0-1.5","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","6","1","training_1","1536 x 864","1105 x 686","true",""
"180.60499988496304","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.65045452761379","[5.634999834001064,16.890000086277723,16.534999944269657,16.525000100955367,16.730000032112002,16.90499996766448,16.66500000283122,16.74499991349876,16.64000004529953,16.309999860823154,16.57500001601875]","11","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","24","17558","0.0-4.0-1.0-1.6","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","7","1","training_1","1536 x 864","1105 x 686","true",""
"200.7899999152869","69","false","e,t","t","5000","true","1","50","1","0","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.116249995927017","[10.169999906793237,17.075000097975135,16.31499989889562,16.625000163912773,16.534999944269657,16.730000032112002,16.654999926686287,16.73500007018447,16.8550000526011,16.629999969154596,16.64000004529953,16.429999843239784]","12","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","27","18574","0.0-4.0-1.0-1.7","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","right","0.5","rdk","8","1","training_1","1536 x 864","1105 x 686","true",""
"205.49000008031726","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","15.851666665791223","[6.999999983236194,16.83000009506941,16.644999850541353,16.90499996766448,16.450000228360295,16.55499986372888,16.460000071674585,16.869999933987856,17.21499999985099,15.90500003658235,16.730000032112002,16.654999926686287]","12","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","30","19531","0.0-4.0-1.0-1.8","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","9","1","training_1","1536 x 864","1105 x 686","true",""
"219.92000006139278","69","true","e,t","e","5000","true","1","50","1","180","0.5","0","2","5","1.7","274.4","274.4","white","black","5","1","1","16.252307686954737","[11.054999893531203,16.950000077486038,16.614999854937196,16.61500008776784,16.670000040903687,16.55499986372888,16.44000015221536,16.994999954476953,16.654999926686287,16.44999999552965,16.78499998524785,16.925000119954348,16.56999997794628]","13","552.5","343","false","20","20","black","1","false","1","1","1105","686","rdk","33","20675","0.0-4.0-1.0-1.9","","mmlk0s","dsf","er","X","-1","-1","accuracy","{""name"":""Chrome"",""chrome"":true,""version"":""80.0"",""blink"":true,""windows"":true,""osname"":""Windows"",""osversion"":""10"",""a"":true}","","left","0.5","rdk","10","1","training_1","1536 x 864","1105 x 686","true",""
